TableSize,DataSize,insertStdMap,searchStdMap,deleteStdMap,insertStdHashMap,searchStdHashMap,deleteStdHashMap,insertChained,searchChained,deleteChained,attemptsChained,insertOpened_quadratic,searchOpened_quadratic,deleteOpened_quadratic,attemptsOpened_quadratic,insertOpened_double,searchOpened_double,deleteOpened_double,attemptsOpened_double
5800,2900,5.566667,2.866667,6.033333,3.033333,0.700000,1.300000,2.766667,4.200000,4.000000,0.866667,3.666667,6.633333,5.733333,1.133333,3.733333,6.500000,5.566667,0.900000
5900,2950,7.400000,3.133333,6.433333,4.100000,0.700000,1.300000,2.533333,3.866667,3.700000,0.766667,3.133333,5.700000,4.833333,0.900000,4.066667,7.300000,6.433333,1.300000
6000,3000,5.566667,2.900000,6.233333,3.100000,0.700000,1.300000,2.633333,4.066667,3.866667,0.833333,3.700000,6.833333,6.600000,1.233333,3.800000,6.666667,5.800000,1.033333
6100,3050,5.566667,2.866667,5.933333,3.133333,0.700000,1.333333,2.633333,4.066667,3.900000,0.700000,3.300000,5.866667,4.966667,0.766667,3.400000,5.800000,4.933333,0.633333
6200,3100,5.466667,2.800000,5.900000,3.533333,0.766667,1.400000,2.900000,4.466667,4.233333,0.733333,3.366667,6.266667,5.366667,1.066667,4.566667,8.133333,7.133333,1.266667
6300,3150,5.633333,2.900000,6.100000,3.166667,0.700000,1.366667,2.700000,4.200000,4.000000,0.666667,3.400000,6.033333,5.100000,0.766667,3.900000,6.666667,5.566667,0.633333
6400,3200,5.766667,3.000000,6.066667,3.100000,0.666667,1.300000,2.900000,4.433333,4.233333,0.833333,3.700000,6.733333,5.800000,0.966667,4.133333,7.300000,6.366667,1.100000
6500,3250,5.966667,2.933333,5.933333,3.100000,0.666667,1.300000,2.733333,4.200000,4.033333,0.700000,4.033333,7.300000,6.400000,1.200000,4.366667,7.600000,6.566667,0.900000
6600,3300,6.266667,3.100000,6.433333,3.200000,0.700000,1.333333,2.500000,3.966667,3.800000,0.633333,3.266667,5.866667,4.900000,0.766667,3.433333,5.366667,4.400000,0.500000
6700,3350,5.566667,2.833333,6.100000,3.666667,0.733333,1.433333,3.033333,4.566667,4.266667,0.666667,3.633333,6.566667,5.600000,1.000000,4.633333,8.266666,7.133333,1.200000
6800,3400,5.700000,2.866667,6.300000,3.200000,0.700000,1.366667,3.166667,4.833333,4.600000,0.766667,3.866667,6.933333,5.966667,1.033333,4.100000,7.100000,6.000000,0.833333
6900,3450,5.533333,2.833333,5.900000,3.100000,0.700000,1.266667,2.666667,4.066667,3.866667,0.833333,3.566667,6.700000,5.833333,1.333333,12.266666,5.933333,5.033333,0.866667
7000,3500,5.533333,2.866667,6.600000,3.066667,0.733333,1.300000,3.166667,4.466667,4.133333,0.766667,6.700000,5.366667,4.433333,0.733333,3.300000,5.800000,4.933333,0.800000
7100,3550,9.833333,4.666667,10.266666,3.066667,0.666667,1.333333,2.633333,3.966667,3.833333,0.833333,3.433333,6.333333,5.466667,1.100000,3.700000,6.466667,5.600000,0.966667
7200,3600,5.600000,2.966667,6.233333,3.133333,0.733333,1.333333,3.000000,4.400000,4.233333,1.033333,3.400000,6.233333,5.366667,0.966667,4.033333,7.166667,6.266667,1.133333
7300,3650,5.633333,2.933333,6.200000,3.166667,0.733333,1.366667,2.666667,4.100000,3.933333,0.766667,3.566667,6.433333,5.500000,1.000000,5.300000,9.433333,8.400000,1.500000
7400,3700,6.266667,3.133333,6.366667,3.133333,0.733333,1.333333,2.833333,4.433333,4.200000,0.666667,3.300000,5.866667,5.000000,0.800000,4.200000,7.300000,6.266667,0.866667
7500,3750,5.600000,2.866667,6.000000,3.733333,0.666667,1.300000,2.666667,4.133333,3.933333,0.766667,3.400000,6.066667,5.133333,0.800000,6.866667,5.500000,4.600000,0.566667
7600,3800,6.300000,3.166667,6.600000,3.533333,0.733333,1.400000,2.633333,4.100000,3.900000,0.766667,3.066667,5.500000,4.633333,0.766667,4.100000,7.300000,6.366667,1.266667
7700,3850,5.733333,3.100000,6.133333,3.166667,0.700000,1.300000,2.666667,4.066667,3.900000,0.800000,3.466667,6.300000,5.433333,1.000000,4.066667,7.066667,6.133333,1.066667
7800,3900,5.733333,3.000000,6.133333,3.166667,0.700000,1.333333,2.733333,4.166667,4.633333,0.800000,3.800000,7.066667,6.133333,1.300000,4.166667,7.866667,6.833333,1.033333
7900,3950,6.800000,3.200000,6.500000,3.266667,0.700000,1.366667,3.666667,4.466667,4.333333,0.866667,4.566667,8.366667,7.400000,1.700000,4.166667,7.266667,6.300000,1.100000
8000,4000,6.200000,3.066667,6.566667,3.200000,0.700000,1.300000,2.566667,3.966667,3.800000,0.700000,3.366667,5.966667,5.033333,0.833333,5.033333,9.000000,7.933333,1.633333
8100,4050,5.600000,2.833333,6.266667,3.133333,0.666667,1.300000,3.366667,4.266667,4.100000,0.866667,3.166667,5.700000,4.766667,0.766667,4.100000,7.266667,6.333333,1.200000
8200,4100,5.566667,2.866667,6.166667,3.133333,0.700000,1.333333,2.800000,4.300000,4.100000,0.766667,3.900000,7.000000,6.033333,1.100000,4.200000,7.300000,6.333333,1.133333
8300,4150,5.633333,2.900000,7.066667,3.200000,0.666667,1.333333,2.833333,4.400000,4.200000,0.733333,3.966667,7.066667,6.100000,1.033333,4.566667,7.933333,6.966667,1.200000
8400,4200,5.600000,2.966667,6.133333,3.033333,0.633333,1.233333,2.900000,4.300000,4.133333,0.966667,3.533333,6.400000,5.500000,1.033333,3.766667,6.600000,5.700000,1.033333
8500,4250,5.666667,2.933333,6.200000,3.100000,0.666667,1.300000,2.900000,4.366667,4.166667,0.900000,3.600000,6.466667,5.566667,1.000000,4.266667,7.466667,6.533333,1.233333
8600,4300,6.433333,3.200000,6.666667,3.066667,0.666667,1.466667,2.866667,4.266667,4.100000,0.933333,4.066667,7.666667,6.766667,1.533333,3.966667,7.100000,6.200000,1.200000
8700,4350,5.866667,3.033333,6.233333,3.600000,0.700000,1.433333,3.433333,5.033333,4.866667,1.033333,4.833333,8.766666,7.766667,1.533333,4.466667,7.766667,6.733333,1.166667
8800,4400,5.666667,2.966667,6.300000,3.533333,0.733333,1.400000,2.866667,4.266667,4.100000,0.800000,3.833333,6.600000,5.500000,0.733333,4.100000,7.033333,6.066667,1.066667
8900,4450,6.433333,3.200000,6.466667,3.233333,0.700000,1.366667,3.566667,5.233333,5.000000,1.033333,4.166667,7.666667,6.700000,1.366667,6.166667,7.433333,6.433333,1.166667
9000,4500,6.000000,2.900000,6.266667,3.900000,0.700000,1.333333,2.633333,4.100000,3.900000,0.733333,3.466667,6.233333,5.300000,0.933333,4.000000,6.966667,6.033333,1.066667
9100,4550,5.700000,2.933333,6.233333,3.166667,0.666667,1.333333,3.500000,5.133333,4.866667,0.966667,4.366667,8.033334,7.100000,1.466667,3.800000,6.500000,5.566667,0.833333
9200,4600,5.766667,2.966667,6.266667,4.066667,0.700000,1.400000,3.033333,4.633333,4.433333,0.833333,4.100000,7.566667,6.566667,1.233333,4.433333,7.666667,6.633333,1.100000
9300,4650,5.700000,2.966667,6.100000,3.066667,0.633333,1.266667,2.833333,4.300000,4.100000,0.900000,3.900000,7.266667,6.333333,1.400000,3.433333,5.966667,5.033333,0.766667
9400,4700,5.833333,3.100000,6.466667,3.100000,0.666667,1.266667,2.766667,4.200000,4.033333,0.766667,3.566667,6.466667,5.533333,0.966667,3.300000,5.600000,4.666667,0.600000
9500,4750,5.733333,2.966667,6.266667,3.200000,0.666667,1.333333,2.966667,4.466667,4.266667,0.866667,3.900000,7.200000,6.266667,1.266667,3.866667,6.700000,5.766667,0.866667
9600,4800,6.333333,3.166667,6.500000,3.433333,0.700000,1.366667,3.233333,4.200000,4.033333,0.766667,4.400000,8.166667,7.266667,1.600000,3.366667,5.766667,4.866667,0.600000
9700,4850,5.633333,2.966667,6.300000,4.000000,0.766667,1.533333,3.200000,4.700000,4.766667,0.766667,3.700000,6.633333,5.566667,0.766667,4.233333,7.233333,6.100000,0.833333
9800,4900,6.466667,3.233333,6.600000,3.633333,0.733333,1.400000,3.000000,4.633333,4.366667,0.633333,3.433333,5.966667,4.833333,0.533333,4.100000,6.933333,5.866667,0.766667
9900,4950,6.466667,3.200000,6.500000,3.633333,0.733333,1.366667,3.200000,4.766667,4.500000,0.866667,4.400000,8.133333,7.100000,1.300000,4.733333,8.300000,7.266667,1.300000
10000,5000,5.766667,3.066667,6.500000,3.066667,0.666667,1.266667,3.066667,4.466667,4.266667,0.966667,4.133333,7.733333,6.833333,1.500000,3.900000,6.833333,5.933333,1.033333
10100,5050,5.700000,3.033333,6.300000,3.100000,0.666667,1.266667,2.933333,4.366667,4.200000,0.933333,4.433333,8.466666,7.466667,1.800000,4.500000,8.066667,7.166667,1.466667
10200,5100,5.633333,2.966667,6.200000,3.500000,0.666667,1.266667,2.800000,4.166667,3.966667,0.933333,3.733333,6.966667,6.066667,1.366667,3.566667,6.266667,5.400000,0.933333
10300,5150,5.700000,2.900000,6.366667,3.666667,0.766667,1.466667,2.700000,4.233333,4.000000,0.633333,3.533333,6.366667,5.433333,0.933333,5.666667,6.000000,5.033333,0.566667
10400,5200,5.900000,3.100000,6.433333,3.100000,0.666667,1.333333,2.800000,4.333333,4.166667,0.766667,4.400000,8.833333,4.833333,0.633333,4.166667,7.266667,6.200000,1.033333
10500,5250,6.066667,2.966667,6.266667,3.266667,0.700000,1.333333,3.400000,4.900000,4.666667,0.833333,6.500000,8.300000,7.233333,1.600000,9.033334,8.600000,8.300000,1.633333
10600,5300,5.833333,3.100000,6.366667,3.166667,0.666667,1.300000,2.966667,4.433333,4.266667,0.900000,4.000000,7.333333,6.333333,1.200000,3.766667,6.600000,5.566667,0.900000
10700,5350,6.266667,3.166667,6.533333,3.100000,0.700000,1.300000,2.633333,4.033333,3.833333,0.800000,3.433333,6.266667,5.400000,1.066667,3.600000,6.233333,5.366667,0.833333
10800,5400,5.733333,3.000000,6.200000,3.033333,0.666667,1.266667,2.733333,4.100000,3.933333,0.866667,4.066667,7.533333,6.666667,1.533333,3.833333,6.600000,5.733333,1.000000
10900,5450,6.433333,3.200000,6.733333,3.266667,0.700000,1.366667,2.966667,4.500000,4.333333,0.800000,3.900000,7.000000,6.033333,1.100000,4.433333,7.533333,6.566667,1.100000
11000,5500,6.400000,3.233333,6.566667,3.066667,0.666667,1.300000,3.133333,4.066667,3.900000,0.766667,3.433333,6.233333,5.333333,1.000000,3.200000,5.433333,4.533333,0.600000
11100,5550,5.733333,2.933333,6.266667,3.100000,0.666667,1.300000,2.833333,4.300000,4.100000,0.800000,4.000000,6.666667,5.600000,0.966667,3.800000,6.533333,5.500000,0.833333
11200,5600,5.833333,3.000000,6.366667,3.133333,0.666667,1.300000,2.866667,4.300000,4.133333,0.833333,3.900000,7.233333,6.366667,1.266667,4.133333,7.200000,6.333333,1.100000
11300,5650,5.766667,3.000000,6.333333,3.466667,0.733333,1.400000,3.733333,5.233333,5.000000,1.133333,4.066667,7.666667,6.700000,1.466667,4.100000,7.266667,6.366667,1.233333
11400,5700,5.800000,3.066667,6.400000,3.166667,0.666667,1.333333,2.866667,4.333333,4.166667,0.766667,4.300000,7.966667,7.000000,1.433333,4.033333,7.066667,6.100000,0.966667
11500,5750,5.966667,3.066667,6.500000,3.266667,0.700000,1.400000,2.866667,4.466667,4.300000,0.733333,3.600000,6.566667,5.566667,1.000000,7.366667,6.266667,5.266667,0.733333
11600,5800,5.733333,3.000000,6.433333,3.166667,0.700000,1.300000,3.400000,4.200000,4.000000,0.800000,3.600000,6.533333,5.633333,1.033333,3.100000,5.233333,4.333333,0.500000
11700,5850,6.400000,3.266667,6.633333,3.233333,0.666667,1.300000,3.266667,4.700000,4.533333,1.133333,4.000000,7.366667,6.433333,1.333333,4.266667,7.533333,6.633333,1.300000
11800,5900,5.900000,3.066667,6.300000,3.533333,0.733333,1.366667,2.500000,3.866667,3.666667,0.666667,3.066667,5.500000,4.633333,0.733333,3.166667,5.533333,4.633333,0.633333
11900,5950,5.833333,3.100000,6.300000,3.100000,0.666667,1.300000,2.633333,4.033333,3.866667,0.766667,3.733333,6.933333,6.066667,1.266667,3.566667,6.200000,5.300000,0.933333
12000,6000,6.833333,3.300000,6.800000,3.266667,0.733333,1.333333,3.233333,4.800000,4.500000,0.766667,3.066667,5.433333,4.500000,0.633333,4.000000,7.066667,6.166667,1.133333
12100,6050,5.833333,3.100000,6.300000,4.166667,0.700000,1.333333,3.266667,4.733333,4.566667,1.133333,4.166667,7.600000,6.700000,1.400000,4.600000,8.133333,7.200000,1.400000
12200,6100,5.900000,3.133333,6.400000,3.166667,0.700000,1.333333,2.700000,4.166667,4.000000,0.700000,3.166667,5.600000,4.666667,0.666667,3.733333,6.400000,5.466667,0.833333
12300,6150,5.833333,3.033333,6.433333,3.200000,0.666667,1.300000,2.633333,4.133333,3.933333,0.700000,3.400000,6.133333,5.233333,0.900000,5.700000,7.100000,5.733333,0.733333
12400,6200,5.800000,3.100000,6.500000,3.233333,0.700000,1.333333,2.700000,4.066667,3.900000,0.766667,4.400000,8.133333,7.200000,1.500000,3.633333,6.266667,5.300000,0.866667
12500,6250,5.866667,3.033333,6.466667,3.266667,0.733333,1.400000,2.933333,4.466667,4.266667,0.866667,4.033333,7.433333,6.500000,1.366667,4.033333,6.966667,6.000000,1.033333
12600,6300,5.766667,3.066667,6.433333,3.766667,0.700000,1.333333,2.600000,4.000000,3.833333,0.766667,3.966667,7.200000,6.300000,1.366667,3.900000,6.766667,5.866667,1.033333
12700,6350,6.600000,3.266667,6.733333,3.100000,0.666667,1.300000,3.233333,4.566667,4.433333,1.200000,4.033333,7.500000,6.633333,1.500000,4.400000,7.933333,7.033333,1.600000
12800,6400,5.833333,3.100000,6.233333,3.166667,0.700000,1.333333,2.833333,4.300000,4.033333,0.788889,3.466667,6.266667,5.333333,0.900000,3.766667,6.533333,5.633333,0.866667
12900,6450,5.833333,3.033333,6.466667,3.200000,0.666667,1.333333,3.100000,4.600000,4.433333,0.933333,4.633333,8.500000,7.533333,1.600000,6.833333,7.866667,6.866667,1.200000
13000,6500,5.833333,3.066667,6.433333,3.633333,0.800000,1.466667,2.733333,4.133333,3.933333,0.822222,4.566667,8.533334,7.633333,1.833333,3.466667,6.033333,5.200000,0.800000
13100,6550,5.766667,3.033333,6.333333,3.133333,0.700000,1.300000,2.500000,3.933333,3.766667,0.700000,3.766667,6.900000,5.966667,1.233333,3.433333,5.900000,5.000000,0.766667
13200,6600,6.133333,3.200000,6.533333,3.233333,0.700000,1.366667,3.200000,4.766667,4.600000,0.900000,5.266667,9.833333,8.766666,1.900000,3.966667,6.766667,5.766667,0.833333
13300,6650,6.866667,3.333333,6.900000,3.266667,0.666667,1.266667,2.700000,4.200000,4.000000,0.588889,3.166667,5.700000,4.766667,0.866667,3.900000,6.833333,5.900000,1.066667
13400,6700,6.566667,3.300000,6.833333,3.200000,0.700000,1.333333,3.033333,4.466667,4.300000,0.900000,3.666667,6.766667,5.800000,1.133333,4.600000,8.266666,7.300000,1.500000
13500,6750,5.833333,3.133333,6.400000,3.166667,0.666667,1.300000,2.400000,3.833333,3.666667,0.566667,3.900000,7.266667,6.366667,1.300000,3.233333,5.633333,4.700000,0.600000
13600,6800,5.900000,3.033333,6.500000,3.233333,0.700000,1.333333,2.966667,4.333333,4.166667,0.900000,3.933333,7.200000,6.300000,1.200000,4.300000,7.700000,6.766667,1.366667
13700,6850,5.733333,3.000000,6.533333,3.166667,0.733333,1.333333,3.000000,4.400000,4.233333,0.966667,4.333333,8.000000,7.100000,1.566667,7.533333,12.300000,7.233333,1.200000
13800,6900,6.000000,3.133333,6.633333,3.233333,0.666667,1.333333,3.066667,4.566667,4.300000,0.922222,3.866667,7.066667,6.133333,1.166667,4.466667,7.833333,6.833333,1.200000
13900,6950,6.933333,3.366667,7.100000,3.233333,0.700000,1.366667,3.700000,5.300000,5.033333,0.933333,4.333333,7.933333,6.900000,1.300000,4.233333,7.333333,6.333333,1.033333
14000,7000,5.733333,3.033333,6.466667,3.066667,0.700000,1.266667,3.266667,4.200000,4.033333,1.000000,3.566667,6.600000,5.766667,1.233333,3.466667,6.033333,5.166667,0.900000
14100,7050,5.933333,3.133333,6.666667,3.300000,0.700000,1.366667,3.033333,4.533333,4.333333,0.866667,5.433333,11.200000,9.433333,1.166667,5.166667,9.266666,8.166667,1.666667
14200,7100,6.000000,3.133333,6.600000,3.200000,0.700000,1.366667,2.933333,4.433333,4.233333,0.833333,3.966667,7.333333,6.400000,1.233333,4.066667,7.133333,6.166667,1.000000
14300,7150,5.966667,3.100000,6.433333,3.233333,0.700000,1.366667,2.766667,4.266667,4.100000,0.633333,3.300000,5.666667,4.700000,0.533333,3.733333,6.400000,5.400000,0.733333
14400,7200,5.733333,3.033333,6.500000,3.166667,0.666667,1.266667,2.566667,4.000000,3.833333,0.733333,3.200000,5.800000,4.833333,0.833333,4.133333,7.233333,6.300000,1.233333
14500,7250,6.966667,3.400000,7.033333,3.733333,0.733333,1.433333,3.033333,4.500000,4.333333,0.966667,3.966667,7.433333,6.433333,1.433333,3.766667,6.500000,5.566667,0.866667
14600,7300,5.933333,3.133333,6.533333,3.233333,0.700000,1.366667,3.266667,4.966667,4.700000,0.766667,3.800000,6.700000,5.666667,0.866667,4.533333,7.833333,6.766667,1.166667
14700,7350,6.000000,3.100000,6.566667,3.233333,0.700000,1.366667,2.766667,4.266667,4.066667,0.700000,3.600000,6.400000,5.400000,0.866667,3.866667,6.533333,5.600000,0.833333
14800,7400,5.766667,3.033333,6.500000,3.266667,0.733333,1.366667,2.933333,4.366667,4.200000,0.900000,3.633333,6.533333,5.566667,0.966667,3.800000,6.500000,5.566667,0.833333
14900,7450,7.166667,3.233333,6.533333,3.200000,0.666667,1.300000,3.233333,4.700000,4.533333,1.100000,4.066667,7.566667,6.600000,1.400000,4.633333,8.466666,7.400000,1.533333
15000,7500,6.633333,3.133333,6.633333,3.300000,0.733333,1.400000,2.900000,4.366667,4.200000,0.833333,4.766667,8.500000,7.400000,1.266667,4.333333,7.466667,6.466667,1.100000
15100,7550,5.966667,3.133333,6.566667,3.266667,0.666667,1.366667,3.133333,4.666667,4.566667,0.900000,4.166667,7.533333,6.466667,1.300000,5.033333,9.033334,7.966667,1.633333
15200,7600,6.000000,3.166667,6.500000,3.300000,0.700000,1.366667,2.933333,4.433333,4.233333,0.833333,3.966667,7.166667,6.200000,1.133333,3.733333,6.366667,5.366667,0.800000
15300,7650,6.000000,3.200000,6.566667,3.266667,0.700000,1.366667,2.733333,4.233333,4.033333,0.766667,3.800000,6.933333,5.966667,1.166667,3.900000,6.766667,5.766667,1.000000
15400,7700,5.900000,3.133333,6.533333,3.766667,0.733333,1.366667,2.733333,4.166667,4.000000,0.733333,3.600000,6.566667,5.633333,1.066667,4.066667,7.066667,6.133333,1.066667
15500,7750,5.866667,3.066667,6.466667,3.166667,0.700000,1.300000,2.833333,4.233333,4.066667,0.900000,3.666667,6.633333,5.733333,1.066667,4.333333,7.566667,6.633333,1.266667
15600,7800,7.366667,3.533333,7.333333,3.366667,0.733333,1.400000,3.166667,4.633333,4.433333,0.966667,3.833333,6.700000,5.733333,1.066667,4.700000,8.300000,7.233333,1.400000
15700,7850,6.033333,3.200000,6.700000,3.266667,0.700000,1.333333,3.266667,4.766667,4.600000,1.033333,4.200000,7.766667,6.800000,1.400000,4.100000,7.100000,6.066667,1.033333
15800,7900,5.866667,3.100000,6.466667,3.233333,0.733333,1.366667,2.966667,4.366667,4.200000,0.933333,4.566667,8.633333,7.700000,1.800000,4.233333,7.500000,6.566667,1.233333
15900,7950,5.866667,3.066667,6.433333,3.633333,0.766667,1.433333,2.833333,4.300000,4.100000,0.800000,3.733333,6.533333,5.600000,0.933333,3.733333,6.300000,5.366667,0.833333
16000,8000,6.633333,3.400000,7.266667,3.200000,0.700000,1.366667,3.233333,4.733333,4.533333,0.966667,4.333333,8.033334,7.033333,1.466667,3.700000,6.333333,5.366667,0.700000
16100,8050,7.433333,3.500000,7.266667,3.466667,0.733333,1.433333,3.100000,4.533333,4.366667,0.833333,7.466667,8.600000,7.566667,1.633333,3.700000,6.300000,5.400000,0.800000
16200,8100,6.033333,3.266667,6.866667,3.200000,0.733333,1.366667,2.766667,4.300000,4.000000,0.766667,3.100000,5.566667,4.600000,0.666667,4.066667,7.033333,6.033333,0.966667
16300,8150,5.866667,3.133333,6.566667,3.133333,0.700000,1.333333,3.266667,4.866667,4.633333,0.866667,4.100000,7.533333,6.600000,1.400000,3.500000,6.033333,5.100000,0.733333
16400,8200,5.866667,3.133333,6.566667,3.033333,0.666667,1.266667,2.333333,3.733333,3.566667,0.566667,5.300000,5.666667,4.733333,0.700000,3.133333,5.300000,4.400000,0.533333
16500,8250,5.966667,3.166667,6.766667,3.133333,0.666667,1.333333,3.033333,4.466667,4.266667,0.866667,4.266667,7.833333,6.866667,1.333333,4.100000,7.133333,6.133333,1.000000
16600,8300,6.400000,3.166667,6.600000,3.200000,0.666667,1.333333,3.033333,4.400000,4.200000,0.800000,3.766667,6.666667,5.700000,0.966667,4.133333,7.133333,6.200000,1.000000
16700,8350,5.900000,3.166667,6.666667,3.600000,0.733333,1.433333,2.833333,4.300000,4.100000,0.800000,3.700000,6.733333,5.800000,1.066667,3.700000,6.433333,5.500000,0.866667
16800,8400,6.000000,3.200000,6.733333,4.200000,0.666667,1.333333,2.666667,4.100000,3.933333,0.733333,4.300000,8.333333,6.933333,1.433333,3.766667,6.633333,5.733333,0.900000
16900,8450,5.833333,3.200000,6.433333,3.033333,0.666667,1.233333,2.600000,3.900000,3.733333,0.766667,2.933333,5.233333,4.366667,0.633333,5.566667,5.833333,4.966667,0.766667
17000,8500,6.333333,3.233333,6.600000,3.533333,0.666667,1.333333,3.233333,4.800000,4.533333,0.800000,4.500000,8.333333,7.366667,1.433333,3.800000,6.666667,5.700000,0.933333
17100,8550,6.400000,3.166667,6.700000,3.300000,0.666667,1.333333,3.400000,4.866667,4.666667,1.100000,4.166667,7.600000,6.633333,1.300000,3.966667,6.866667,5.866667,1.000000
17200,8600,5.900000,3.200000,6.533333,3.033333,0.666667,1.266667,3.433333,5.000000,4.733333,1.033333,3.933333,7.366667,6.433333,1.400000,4.300000,7.666667,6.733333,1.400000
17300,8650,5.833333,3.133333,6.500000,3.066667,0.666667,1.266667,2.733333,4.100000,3.933333,0.900000,3.766667,6.833333,5.766667,0.966667,4.133333,7.300000,6.400000,1.266667
17400,8700,5.833333,3.166667,6.466667,3.466667,0.733333,1.366667,2.933333,4.366667,4.166667,0.733333,3.466667,6.200000,5.266667,0.966667,3.966667,6.866667,5.900000,1.166667
17500,8750,6.666667,3.166667,6.633333,3.833333,0.666667,1.333333,2.800000,4.266667,4.033333,0.788889,3.700000,6.866667,5.933333,1.200000,3.400000,5.800000,4.866667,0.633333
17600,8800,6.000000,3.233333,6.700000,3.100000,0.666667,1.300000,2.800000,4.233333,4.066667,0.800000,3.466667,6.400000,5.300000,0.900000,3.633333,6.333333,5.333333,0.866667
17700,8850,5.866667,3.166667,6.700000,3.033333,0.666667,1.266667,2.900000,4.300000,4.133333,0.933333,4.000000,7.333333,6.433333,1.266667,4.566667,8.166667,7.200000,1.533333
17800,8900,5.933333,3.166667,6.633333,3.133333,0.666667,1.300000,3.133333,4.600000,4.400000,0.966667,4.666667,8.600000,7.633333,1.666667,3.900000,6.700000,5.700000,0.900000
17900,8950,5.966667,3.166667,6.833333,3.166667,0.666667,1.333333,2.933333,4.400000,4.233333,0.900000,4.166667,7.700000,6.733333,1.366667,4.200000,7.266667,6.333333,1.133333
18000,9000,5.933333,3.133333,6.633333,3.300000,0.700000,1.366667,4.133333,5.333333,4.900000,1.166667,4.433333,8.500000,7.966667,1.533333,4.500000,7.933333,6.933333,1.500000
18100,9050,5.966667,3.166667,6.600000,3.100000,0.700000,1.333333,3.133333,4.600000,4.400000,1.000000,4.866667,9.033334,8.066667,1.866667,4.233333,7.333333,6.333333,1.100000
18200,9100,5.900000,3.133333,6.600000,3.100000,0.666667,1.300000,2.333333,3.766667,3.566667,0.500000,3.233333,5.866667,4.933333,0.800000,3.400000,5.800000,4.866667,0.633333
18300,9150,6.033333,3.266667,6.600000,3.166667,0.700000,1.300000,2.933333,4.366667,4.166667,0.866667,4.200000,7.666667,6.733333,1.366667,3.433333,5.800000,4.866667,0.633333
18400,9200,5.966667,3.233333,6.600000,3.100000,0.666667,1.266667,2.900000,4.466667,4.233333,0.766667,3.133333,5.600000,4.700000,0.800000,3.633333,6.333333,5.433333,0.933333
18500,9250,6.033333,3.166667,6.766667,3.633333,0.700000,1.366667,3.066667,4.633333,4.366667,0.933333,3.800000,6.900000,5.866667,1.100000,3.666667,6.166667,5.233333,0.733333
18600,9300,5.933333,3.133333,6.633333,3.000000,0.666667,1.266667,3.100000,4.433333,4.266667,1.066667,3.966667,7.366667,6.433333,1.400000,3.266667,5.633333,4.766667,0.700000
18700,9350,5.966667,3.133333,6.666667,3.233333,0.700000,1.333333,3.633333,4.266667,4.066667,0.633333,3.433333,6.200000,5.200000,0.800000,4.333333,7.566667,6.533333,1.166667
18800,9400,5.966667,3.200000,6.733333,3.133333,0.666667,1.300000,3.466667,4.833333,4.533333,0.800000,4.200000,7.766667,6.800000,1.433333,3.933333,6.700000,5.733333,0.900000
18900,9450,6.966667,3.433333,7.200000,3.933333,0.766667,1.500000,3.000000,4.433333,4.233333,0.766667,4.033333,7.366667,6.333333,1.166667,4.066667,7.000000,6.033333,0.933333
19000,9500,6.700000,3.466667,7.066667,3.666667,0.733333,1.400000,2.533333,4.033333,3.833333,0.633333,3.500000,6.233333,5.133333,0.700000,8.700000,6.366667,5.333333,0.833333
19100,9550,5.866667,3.166667,6.766667,3.066667,0.666667,1.266667,3.466667,4.233333,4.133333,0.966667,4.033333,7.600000,6.700000,1.500000,3.633333,6.266667,5.433333,0.966667
19200,9600,6.666667,3.433333,7.033333,3.066667,0.700000,1.300000,2.833333,4.200000,4.033333,0.933333,4.166667,7.900000,7.033333,1.666667,3.900000,6.833333,5.966667,1.133333
19300,9650,6.033333,3.200000,6.666667,3.633333,0.733333,1.400000,3.433333,5.000000,4.800000,0.900000,4.766667,8.466666,7.266667,1.200000,3.200000,5.366667,4.366667,0.466667
19400,9700,5.933333,3.133333,6.666667,3.166667,0.700000,1.333333,2.966667,4.466667,4.266667,0.900000,4.033333,7.466667,6.400000,1.300000,4.633333,8.133333,7.100000,1.333333
19500,9750,6.233333,3.266667,6.600000,3.266667,0.666667,1.366667,3.200000,4.666667,4.466667,0.900000,3.933333,7.000000,6.800000,1.000000,4.166667,7.300000,6.266667,0.966667
19600,9800,6.133333,3.300000,6.633333,3.100000,0.666667,1.300000,2.800000,4.266667,4.100000,0.733333,2.900000,7.933333,4.133333,0.433333,3.633333,6.266667,5.266667,0.766667
19700,9850,6.100000,3.266667,6.733333,4.133333,0.700000,1.366667,3.033333,4.533333,4.333333,0.866667,4.800000,8.566667,7.333333,1.233333,4.900000,8.633333,7.566667,1.533333
19800,9900,5.966667,3.200000,8.166667,3.600000,0.766667,1.433333,3.433333,5.000000,4.766667,0.966667,3.666667,6.600000,5.633333,1.033333,6.333333,7.900000,7.000000,1.400000
19900,9950,6.033333,3.233333,6.733333,3.166667,0.700000,1.333333,3.033333,4.466667,4.300000,0.933333,3.666667,6.433333,5.466667,0.933333,3.900000,6.733333,5.733333,0.900000
20000,10000,6.600000,3.433333,7.033333,3.133333,0.700000,1.333333,3.000000,4.633333,4.366667,0.766667,3.600000,6.666667,5.700000,1.200000,3.200000,5.466667,4.533333,0.633333
20100,10050,6.300000,3.233333,6.733333,3.266667,0.666667,1.366667,3.166667,4.733333,4.533333,0.800000,4.300000,7.633333,6.633333,1.133333,4.866667,8.066667,6.866667,0.900000
