TableSize,DataSize,insertStdMap,searchStdMap,deleteStdMap,insertStdHashMap,searchStdHashMap,deleteStdHashMap,insertChained,searchChained,deleteChained,attemptsChained,insertOpened_quadratic,searchOpened_quadratic,deleteOpened_quadratic,attemptsOpened_quadratic,insertOpened_double,searchOpened_double,deleteOpened_double,attemptsOpened_double
35200,17600,6.900000,3.333333,6.933333,3.066667,0.666667,1.233333,2.933333,4.133333,3.966667,0.966667,3.900000,7.000000,6.033333,1.266667,3.666667,6.333333,5.400000,1.000000
35300,17650,6.700000,3.366667,7.066667,3.866667,0.766667,1.500000,3.833333,5.400000,5.100000,1.000000,3.766667,6.766667,5.666667,0.933333,12.800000,8.000000,6.700000,1.200000
35400,17700,6.400000,3.366667,6.933333,3.166667,0.666667,1.300000,2.766667,4.066667,3.866667,0.800000,3.333333,6.033333,5.066667,0.866667,3.933333,6.866667,5.900000,1.133333
35500,17750,6.433333,3.333333,7.000000,3.066667,0.666667,1.300000,2.833333,4.166667,4.000000,0.866667,4.033333,7.233333,6.233333,1.333333,3.500000,6.033333,5.066667,0.766667
35600,17800,7.233333,3.700000,7.933333,3.133333,0.666667,1.300000,2.733333,4.033333,3.900000,0.766667,3.733333,6.733333,5.866667,1.166667,3.900000,5.966667,5.000000,0.700000
35700,17850,8.533334,4.233333,9.433333,3.366667,0.666667,1.333333,3.200000,4.566667,4.300000,0.700000,3.533333,6.233333,5.233333,0.966667,3.400000,5.800000,4.833333,0.733333
35800,17900,6.400000,3.333333,7.000000,4.100000,0.766667,1.400000,2.633333,3.933333,3.900000,0.700000,3.500000,6.233333,5.233333,0.966667,3.266667,5.500000,4.466667,0.566667
35900,17950,6.300000,3.300000,7.100000,3.233333,0.700000,1.366667,3.233333,4.866667,4.566667,0.800000,3.566667,6.433333,5.400000,1.000000,3.933333,6.433333,5.366667,0.833333
36000,18000,6.566667,3.600000,7.166667,3.100000,0.700000,1.300000,3.433333,4.933333,4.666667,1.000000,3.833333,6.900000,5.866667,1.200000,5.133333,8.333333,7.300000,1.166667
36100,18050,6.666667,3.466667,7.200000,3.166667,0.666667,1.300000,2.866667,4.366667,4.133333,0.633333,4.133333,6.666667,5.100000,0.800000,3.900000,6.500000,5.800000,0.833333
36200,18100,7.666667,3.533333,7.933333,3.300000,0.700000,1.366667,3.266667,4.700000,4.466667,1.000000,13.100000,11.866667,8.533334,1.133333,4.433333,7.566667,6.533333,1.133333
36300,18150,6.533333,3.400000,7.100000,3.433333,0.666667,1.400000,2.900000,4.233333,4.000000,0.800000,3.900000,7.066667,6.100000,1.200000,4.333333,6.633333,5.700000,0.900000
36400,18200,11.800000,4.533333,8.066667,3.366667,0.700000,1.400000,3.566667,4.966667,4.700000,1.155556,4.566667,8.233334,7.166667,1.466667,5.233333,9.000000,7.900000,1.600000
36500,18250,6.466667,3.466667,7.133333,3.200000,0.666667,1.300000,2.833333,4.266667,4.066667,0.733333,4.500000,8.066667,7.033333,1.400000,3.100000,5.133333,4.066667,0.333333
36600,18300,7.300000,3.533333,7.533333,4.633333,1.533333,1.600000,5.033333,5.833333,4.566667,0.966667,7.400000,9.266666,10.433333,1.100000,12.466666,74.433334,29.500000,1.033333
36700,18350,9.166667,3.966667,7.833333,3.233333,0.700000,1.300000,2.666667,4.033333,3.833333,0.733333,3.166667,5.600000,4.633333,0.700000,13.000000,6.100000,4.966667,0.800000
36800,18400,7.600000,3.833333,7.600000,3.300000,0.666667,1.300000,3.700000,4.900000,6.133333,0.800000,4.566667,8.233334,7.133333,1.466667,3.766667,6.233333,5.166667,0.733333
36900,18450,15.666667,10.166667,14.166667,3.366667,0.700000,1.366667,4.000000,8.800000,9.000000,0.822222,5.433333,9.266666,8.200000,1.700000,4.500000,7.433333,6.633333,1.100000
37000,18500,13.733334,7.233333,9.066667,3.366667,0.700000,1.400000,3.400000,5.000000,4.600000,0.933333,4.200000,7.266667,6.166667,1.033333,4.633333,7.666667,6.466667,1.033333
37100,18550,8.000000,3.500000,7.200000,3.233333,0.666667,1.300000,3.200000,4.700000,4.433333,0.800000,3.500000,6.233333,5.200000,0.933333,4.066667,6.900000,5.900000,1.100000
37200,18600,7.266667,3.733333,7.366667,3.700000,0.766667,1.400000,3.666667,6.200000,3.833333,0.666667,4.400000,8.000000,7.033333,1.433333,4.433333,7.033333,6.900000,0.900000
37300,18650,11.033334,4.533333,8.366667,5.533333,0.933333,1.833333,5.366667,10.200000,7.233333,0.900000,7.333333,12.333333,10.433333,1.833333,6.100000,10.700000,11.600000,1.166667
37400,18700,10.166667,4.633333,9.300000,4.133333,0.866667,1.666667,3.700000,8.033334,5.333333,0.766667,4.800000,8.500000,7.200000,1.066667,4.333333,7.166667,6.000000,0.566667
37500,18750,8.333333,4.333333,8.833333,3.666667,0.766667,1.500000,3.166667,4.800000,4.533333,0.766667,4.133333,7.066667,5.933333,0.900000,5.333333,7.366667,6.033333,0.833333
37600,18800,6.666667,3.600000,7.333333,3.300000,0.700000,1.366667,2.900000,4.400000,4.166667,0.766667,3.333333,5.833333,4.866667,0.733333,4.733333,8.333333,7.233333,1.433333
37700,18850,6.500000,3.366667,7.133333,3.366667,0.700000,1.400000,3.233333,4.700000,4.500000,0.933333,4.400000,7.800000,6.666667,1.100000,4.666667,8.166667,7.100000,1.266667
37800,18900,6.866667,3.566667,7.266667,3.166667,0.666667,1.300000,2.833333,4.233333,4.033333,0.800000,3.900000,7.000000,6.033333,1.166667,4.433333,7.800000,6.733333,1.233333
37900,18950,6.433333,3.366667,7.266667,3.300000,0.700000,1.333333,3.500000,4.500000,4.300000,0.866667,4.233333,7.800000,6.733333,1.400000,3.966667,6.833333,5.800000,0.933333
38000,19000,6.966667,3.600000,7.600000,3.600000,0.733333,1.400000,3.366667,4.566667,4.433333,0.600000,3.600000,6.366667,5.133333,0.600000,4.300000,7.466667,6.300000,0.866667
38100,19050,7.333333,3.700000,7.433333,3.666667,0.733333,1.433333,3.500000,4.700000,4.533333,0.733333,3.900000,7.066667,5.933333,0.833333,4.100000,6.966667,5.833333,0.800000
38200,19100,7.200000,3.666667,7.533333,3.833333,0.733333,1.466667,4.266667,5.900000,5.600000,1.266667,4.766667,9.366667,8.766666,1.766667,5.633333,9.933333,9.333333,1.533333
38300,19150,7.533333,3.766667,7.600000,3.200000,0.666667,1.300000,3.033333,5.300000,4.300000,0.933333,4.200000,7.200000,6.233333,1.200000,4.333333,7.500000,6.233333,0.933333
38400,19200,7.266667,3.766667,7.700000,4.000000,0.766667,1.466667,5.500000,5.500000,4.966667,0.933333,4.833333,8.733334,9.066667,1.700000,9.300000,17.100000,12.333333,1.166667
38500,19250,7.266667,3.366667,7.066667,3.800000,0.733333,1.500000,3.700000,5.366667,5.066667,0.933333,4.566667,8.333333,7.200000,1.233333,5.200000,9.066667,8.033334,1.533333
38600,19300,8.433333,4.700000,7.766667,3.666667,0.700000,1.433333,3.300000,4.866667,4.566667,0.666667,4.000000,7.200000,5.900000,0.966667,3.733333,6.300000,5.233333,0.666667
