TableSize,DataSize,insertStdMap,searchStdMap,deleteStdMap,insertStdHashMap,searchStdHashMap,deleteStdHashMap,insertChained,searchChained,deleteChained,attemptsChained,insertOpened_linear,searchOpened_linear,deleteOpened_linear,insertOpened_quadratic,searchOpened_quadratic,deleteOpened_quadratic,attemptsOpened_quadratic,insertOpened_double,searchOpened_double,deleteOpened_double,attemptsOpened_double,insertCuckoo,searchCuckoo,deleteCuckoo,attemptsCuckoo
1000,166,7.933333,4.533333,6.466667,4.133333,0.800000,1.600000,4.300000,6.533333,6.333333,0.400000,5.633333,9.533334,5.766667,4.333333,6.833333,3.633333,0.100000,3.366667,5.100000,4.000000,0.066667,5.466667,6.900000,5.466667,0.000000
2000,333,5.866667,2.333333,5.066667,5.800000,0.733333,1.333333,2.333333,3.833333,3.600000,0.433333,2.533333,4.000000,3.066667,2.733333,4.200000,3.366667,0.166667,3.100000,4.700000,3.700000,0.200000,3.566667,5.033333,4.400000,0.000000
3000,500,5.800000,2.600000,4.966667,15.666667,0.700000,1.300000,2.333333,3.633333,3.533333,0.433333,2.666667,4.066667,3.100000,2.533333,4.000000,5.266667,0.100000,2.733333,4.066667,3.400000,0.100000,3.500000,3.000000,2.600000,0.000000
4000,666,8.533334,2.866667,5.166667,3.033333,0.666667,1.333333,2.466667,3.900000,3.666667,0.600000,2.800000,4.266667,3.366667,3.066667,4.466667,3.533333,0.333333,3.600000,4.800000,3.866667,0.333333,9.433333,5.566667,3.266667,0.000000
5000,833,5.233333,2.433333,5.333333,3.133333,0.700000,1.333333,2.233333,3.700000,3.500000,0.466667,2.600000,4.033333,3.133333,2.966667,4.166667,3.200000,0.166667,3.033333,4.333333,4.433333,0.133333,4.933333,3.466667,5.000000,0.000000
6000,1000,6.266667,2.733333,5.933333,33.066666,0.800000,1.466667,2.366667,4.000000,3.700000,0.333333,4.033333,4.600000,3.166667,2.500000,4.000000,3.000000,0.000000,2.633333,4.300000,3.266667,0.000000,3.633333,3.666667,2.700000,0.000000
7000,1166,7.266667,2.600000,5.700000,3.333333,0.700000,1.400000,2.866667,4.533333,4.300000,0.433333,3.133333,4.666667,3.666667,3.966667,4.500000,3.400000,0.100000,3.466667,4.633333,3.633333,0.100000,3.800000,3.366667,2.800000,0.000000
8000,1333,5.366667,2.600000,5.566667,3.133333,0.700000,1.333333,2.633333,4.000000,3.800000,0.733333,3.500000,4.866667,3.966667,3.600000,4.900000,4.000000,0.533333,3.400000,4.833333,3.933333,0.400000,3.300000,2.866667,2.433333,0.000000
9000,1500,6.466667,2.600000,5.733333,3.266667,0.666667,1.366667,2.600000,4.166667,3.966667,0.466667,2.800000,4.433333,3.400000,3.000000,4.566667,3.533333,0.166667,3.033333,4.700000,3.666667,0.133333,3.866667,3.366667,4.500000,0.000000
10000,1666,5.566667,2.700000,5.766667,3.366667,0.700000,1.366667,2.533333,4.066667,3.833333,0.533333,3.000000,4.533333,3.566667,3.166667,4.633333,3.666667,0.266667,3.366667,4.900000,3.900000,0.266667,3.466667,3.033333,2.533333,0.000000
11000,1833,5.600000,2.800000,5.733333,3.266667,0.700000,1.333333,2.500000,4.033333,3.800000,0.600000,3.033333,4.500000,3.566667,3.033333,4.500000,3.566667,0.266667,3.400000,4.866667,3.866667,0.300000,3.466667,3.100000,2.533333,0.000000
12000,2000,5.400000,2.700000,5.733333,3.133333,0.700000,1.333333,2.166667,3.666667,3.400000,0.400000,2.333333,3.766667,2.900000,2.533333,3.933333,3.033333,0.100000,2.833333,4.266667,3.366667,0.133333,3.300000,2.966667,2.466667,0.000000
13000,2166,5.566667,2.800000,5.800000,3.066667,0.666667,1.300000,2.366667,3.800000,3.566667,0.433333,2.500000,3.966667,3.033333,2.766667,4.200000,3.233333,0.133333,2.800000,4.266667,3.300000,0.100000,3.500000,3.100000,2.533333,0.000000
14000,2333,5.666667,2.733333,5.966667,3.233333,0.666667,1.400000,2.866667,4.566667,4.300000,0.600000,3.566667,5.200000,4.166667,6.066667,6.333333,4.433333,0.400000,4.233333,9.333333,7.800000,0.300000,8.966666,8.266666,6.700000,0.000000
15000,2500,5.600000,2.733333,6.000000,3.200000,0.700000,1.300000,2.200000,3.600000,3.433333,0.466667,2.533333,5.933333,3.000000,3.666667,4.333333,3.366667,0.200000,2.933333,4.300000,3.433333,0.166667,3.200000,2.833333,2.366667,0.000000
16000,2666,5.500000,2.733333,5.833333,3.633333,0.733333,1.466667,2.900000,5.833333,6.333333,0.466667,2.966667,4.500000,3.500000,3.000000,4.533333,3.566667,0.200000,3.100000,4.666667,3.666667,0.166667,3.633333,3.133333,2.766667,0.000000
17000,2833,5.500000,2.800000,5.833333,3.200000,0.633333,1.300000,2.433333,3.933333,3.700000,0.466667,2.900000,4.300000,3.300000,2.800000,4.266667,3.266667,0.133333,3.100000,4.866667,4.100000,0.166667,3.533333,3.133333,2.633333,0.000000
18000,3000,5.733333,2.866667,6.000000,3.166667,0.666667,1.333333,2.266667,3.733333,3.566667,0.433333,2.566667,4.033333,3.033333,2.566667,4.033333,3.133333,0.100000,3.066667,4.300000,3.366667,0.133333,3.533333,3.133333,2.666667,0.000000
19000,3166,5.733333,2.833333,6.066667,3.266667,0.700000,1.366667,2.800000,3.900000,3.700000,0.400000,2.833333,4.333333,3.366667,2.833333,4.333333,3.300000,0.100000,3.233333,4.733333,4.233333,0.166667,3.633333,3.133333,2.700000,0.000000
20000,3333,6.100000,2.933333,7.633333,3.233333,0.700000,1.366667,2.666667,4.200000,4.000000,0.600000,3.166667,4.700000,3.666667,3.500000,5.066667,4.033333,0.366667,3.566667,4.966667,3.933333,0.266667,7.166667,3.300000,3.200000,0.000000
21000,3500,6.666667,3.000000,6.200000,3.333333,0.700000,1.466667,2.900000,4.433333,4.200000,0.600000,3.866667,5.366667,4.333333,5.566667,4.933333,3.900000,0.266667,3.666667,5.266667,4.166667,0.266667,3.933333,3.366667,5.500000,0.000000
22000,3666,5.800000,2.866667,6.066667,3.633333,1.200000,1.333333,2.366667,3.800000,4.633333,0.400000,2.600000,3.966667,3.033333,5.933333,10.200000,15.433333,0.133333,30.633333,12.300000,10.566667,0.066667,3.433333,2.933333,2.500000,0.000000
23000,3833,5.666667,2.900000,6.133333,3.400000,0.700000,1.366667,2.333333,3.900000,3.666667,0.433333,5.800000,8.666667,6.266667,5.466667,4.900000,3.333333,0.133333,4.400000,6.066667,4.366667,0.166667,3.700000,3.166667,3.800000,0.000000
24000,4000,5.700000,2.833333,6.200000,3.200000,0.700000,1.333333,2.266667,4.333333,3.666667,0.433333,2.533333,4.000000,3.100000,2.766667,4.300000,3.333333,0.166667,4.966667,4.366667,3.466667,0.133333,3.500000,3.166667,2.633333,0.000000
25000,4166,5.666667,2.866667,6.066667,3.066667,0.633333,1.300000,2.300000,3.900000,3.633333,0.466667,2.866667,4.300000,3.366667,2.800000,4.300000,3.366667,0.166667,2.866667,4.400000,3.433333,0.133333,3.500000,3.166667,2.600000,0.000000
26000,4333,6.300000,3.166667,6.600000,3.533333,0.733333,1.400000,2.466667,4.066667,3.833333,0.466667,2.766667,4.333333,3.300000,2.833333,4.500000,3.500000,0.166667,3.266667,4.800000,3.800000,0.200000,3.733333,3.366667,2.733333,0.000000
27000,4500,6.733333,3.200000,6.466667,4.133333,0.766667,1.433333,8.466666,11.066667,14.500000,0.566667,3.900000,5.166667,4.766667,7.066667,9.166667,6.600000,0.300000,3.566667,5.000000,3.966667,0.266667,3.566667,3.100000,2.633333,0.000000
28000,4666,10.333333,4.433333,9.500000,3.133333,0.666667,1.300000,3.733333,3.966667,3.666667,0.566667,5.166667,4.633333,3.433333,2.833333,4.266667,3.333333,0.233333,3.166667,4.566667,3.700000,0.266667,4.400000,4.400000,4.700000,0.000000
29000,4833,7.100000,3.300000,6.733333,3.100000,0.666667,1.266667,2.266667,3.566667,3.400000,0.500000,2.800000,4.033333,3.166667,3.366667,5.166667,4.033333,0.233333,5.300000,7.533333,6.133333,0.266667,6.433333,5.266667,5.200000,0.000000
30000,5000,5.866667,3.000000,6.366667,3.166667,0.633333,1.300000,2.300000,3.866667,3.533333,0.433333,2.600000,3.966667,3.033333,2.600000,4.033333,3.100000,0.100000,3.233333,4.833333,3.933333,0.133333,3.466667,3.133333,2.533333,0.000000
31000,5166,5.700000,2.966667,6.233333,3.033333,0.633333,1.266667,2.333333,3.733333,3.600000,0.566667,2.866667,4.300000,3.400000,2.966667,4.366667,3.466667,0.300000,2.900000,4.300000,3.466667,0.200000,3.266667,2.833333,2.400000,0.000000
32000,5333,12.100000,5.066667,9.700000,3.166667,0.666667,1.300000,2.166667,3.500000,3.333333,0.466667,3.133333,4.333333,3.433333,5.133333,3.900000,2.966667,0.133333,5.766667,5.200000,3.833333,0.133333,3.266667,2.833333,2.366667,0.000000
33000,5500,6.200000,3.100000,6.333333,3.366667,0.700000,1.366667,2.700000,4.166667,3.933333,0.566667,3.733333,5.200000,4.233333,3.200000,4.633333,3.866667,0.266667,3.500000,4.900000,4.233333,0.266667,3.633333,3.133333,2.666667,0.000000
34000,5666,5.800000,2.966667,6.400000,3.266667,0.666667,1.366667,2.733333,4.266667,4.066667,0.600000,3.400000,4.900000,3.900000,3.600000,8.266666,6.600000,0.333333,4.366667,8.700000,5.966667,0.233333,3.700000,3.166667,2.733333,0.000000
35000,5833,5.800000,3.000000,6.400000,3.100000,0.666667,1.300000,2.233333,3.666667,3.466667,0.466667,2.766667,4.166667,3.233333,3.000000,4.433333,3.466667,0.266667,3.066667,4.500000,3.533333,0.200000,3.333333,2.933333,2.533333,0.000000
